fecha	cp	minsplit	minbucket	maxdepth	prob_corte	xval_folds	ganancia	iteracion
20230513 154633	-0.679291433855343	6396.50287711004	2472.73619310948	3	0.0710973283866312	5	49224000	88
20230513 154649	-0.937838191318176	15116.9597306769	1577.69008053966	6	0.0530969807910251	5	39300000	89
20230513 154705	-0.988174120435541	4789.76613616014	2391.17073471313	15	0.0437014259773026	5	50502000	90
20230513 154723	-0.398289484747205	2048.50677236281	1020.72728692446	16	0.0612772087583468	5	52335000	91
20230513 154736	-0.408220020358566	4372.8744191175	2026.92393525907	7	0.0505884332103844	5	50106000	92
20230513 154751	-0.831090188517773	6538.71832579223	3245.43803629665	15	0.0722838436994533	5	48852000	93
20230513 154809	-0.74751478287948	824.617288012846	384.881845886953	11	0.0391284339521744	5	52596000	94
20230513 154828	-0.404643330657855	2957.86114470162	50.103628327201	14	0.0525900681870275	5	52032000	95
20230513 154842	-0.339557064908011	39.355896824047	3.88073876480567	7	0.0597006095909049	5	52317000	96
20230513 154856	-0.703946915080113	8690.21125119558	4329.06386803696	17	0.063466362918931	5	49341000	97
20230513 154909	-0.779868026002726	12907.3935788398	4873.80473007374	15	0.0779892097121672	5	38796000	98
20230513 154924	-0.587173126497971	5685.84128620605	2800.78915527473	20	0.0588547879159516	5	47979000	99
20230513 154934	-0.388953479610296	783.512436078307	382.854611204865	3	0.0496778308961663	5	51261000	100
20230513 154955	-0.35344527991372	844.643604821771	202.174787814507	19	0.0527081238006193	5	55221000	101
20230513 155017	-0.310143904670805	527.848439997996	218.044146744293	19	0.0514333829894733	5	55101000	102
20230513 155039	-0.328644217938166	653.484964868889	242.264643801321	20	0.0571058420517468	5	53415000	103
20230513 155101	-0.317469508922125	337.433676431908	104.327225745025	15	0.038048602287401	5	47391000	104
20230513 155121	-0.270778408175042	1760.22646408721	179.294242364257	15	0.0549837017278398	5	51648000	105
20230513 155141	-0.301789229770223	14585.2222181133	7.34444803451901	17	0.0526392333728518	5	39120000	106
20230513 155200	-0.30712175128594	1121.6036139234	534.328037634386	15	0.0523341091919853	5	52860000	107
20230513 155215	-0.945826147191568	7142.53424158521	3564.77681965541	11	0.0504301638315127	5	48747000	108
20230513 155230	-0.664431039289335	7359.7162398964	3587.25672188392	13	0.0560523479402348	5	49140000	109
20230513 155241	-0.716185608242634	8421.09161122762	4205.51907753854	3	0.0494795093392852	5	49263000	110
