envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
248	1872000	2136000	1896000	1776000	1536000	2016000	
249	1893000	2133000	2013000	1773000	1533000	2013000	
250	1914000	2130000	2130000	1770000	1530000	2010000	
251	1983000	2247000	2247000	1767000	1647000	2007000	
252	2004000	2244000	2244000	1764000	1764000	2004000	
253	2001000	2241000	2241000	1761000	1761000	2001000	
254	1998000	2238000	2238000	1758000	1758000	1998000	
255	1995000	2235000	2235000	1755000	1755000	1995000	
256	1992000	2232000	2232000	1752000	1752000	1992000	
257	1989000	2229000	2229000	1749000	1749000	1989000	
258	2010000	2226000	2226000	1866000	1746000	1986000	
259	2007000	2223000	2223000	1863000	1743000	1983000	
260	2004000	2220000	2220000	1860000	1740000	1980000	
261	2001000	2217000	2217000	1857000	1737000	1977000	
262	2046000	2334000	2214000	1854000	1854000	1974000	
263	2067000	2331000	2211000	1851000	1971000	1971000	
264	2136000	2448000	2208000	1848000	2088000	2088000	
265	2205000	2565000	2325000	1965000	2085000	2085000	
266	2202000	2562000	2322000	1962000	2082000	2082000	
267	2199000	2559000	2319000	1959000	2079000	2079000	
268	2220000	2676000	2316000	1956000	2076000	2076000	
269	2241000	2673000	2313000	2073000	2073000	2073000	
270	2238000	2670000	2310000	2070000	2070000	2070000	
271	2283000	2667000	2307000	2187000	2187000	2067000	
272	2280000	2664000	2304000	2184000	2184000	2064000	
273	2277000	2661000	2301000	2181000	2181000	2061000	
274	2274000	2658000	2298000	2178000	2178000	2058000	
275	2271000	2655000	2295000	2175000	2175000	2055000	
276	2268000	2652000	2292000	2172000	2172000	2052000	
277	2265000	2649000	2289000	2169000	2169000	2049000	
278	2286000	2646000	2286000	2286000	2166000	2046000	
279	2283000	2643000	2283000	2283000	2163000	2043000	
280	2280000	2640000	2280000	2280000	2160000	2040000	
281	2277000	2637000	2277000	2277000	2157000	2037000	
282	2274000	2634000	2274000	2274000	2154000	2034000	
283	2295000	2631000	2271000	2391000	2151000	2031000	
284	2292000	2628000	2268000	2388000	2148000	2028000	
285	2289000	2625000	2265000	2385000	2145000	2025000	
286	2286000	2622000	2262000	2382000	2142000	2022000	
287	2283000	2619000	2259000	2379000	2139000	2019000	
288	2280000	2616000	2256000	2376000	2136000	2016000	
289	2301000	2733000	2253000	2373000	2133000	2013000	
290	2298000	2730000	2250000	2370000	2130000	2010000	
291	2319000	2727000	2247000	2487000	2127000	2007000	
292	2364000	2844000	2244000	2484000	2124000	2124000	
293	2385000	2841000	2241000	2481000	2121000	2241000	
294	2382000	2838000	2238000	2478000	2118000	2238000	
295	2403000	2835000	2355000	2475000	2115000	2235000	
296	2400000	2832000	2352000	2472000	2112000	2232000	
297	2397000	2829000	2349000	2469000	2109000	2229000	
298	2394000	2826000	2346000	2466000	2106000	2226000	
299	2415000	2823000	2343000	2463000	2223000	2223000	
300	2412000	2820000	2340000	2460000	2220000	2220000	
301	2457000	2817000	2457000	2457000	2217000	2337000	
302	2454000	2814000	2454000	2454000	2214000	2334000	
303	2451000	2811000	2451000	2451000	2211000	2331000	
304	2448000	2808000	2448000	2448000	2208000	2328000	
305	2469000	2805000	2445000	2445000	2205000	2445000	
306	2466000	2802000	2442000	2442000	2202000	2442000	
307	2463000	2799000	2439000	2439000	2199000	2439000	
308	2460000	2796000	2436000	2436000	2196000	2436000	
309	2457000	2793000	2433000	2433000	2193000	2433000	
310	2478000	2790000	2430000	2430000	2310000	2430000	
311	2475000	2787000	2427000	2427000	2307000	2427000	
312	2472000	2784000	2424000	2424000	2304000	2424000	
313	2493000	2901000	2421000	2421000	2301000	2421000	
314	2490000	2898000	2418000	2418000	2298000	2418000	
315	2487000	2895000	2415000	2415000	2295000	2415000	
316	2532000	2892000	2532000	2412000	2412000	2412000	
317	2529000	2889000	2529000	2409000	2409000	2409000	
318	2526000	2886000	2526000	2406000	2406000	2406000	
319	2523000	2883000	2523000	2403000	2403000	2403000	
320	2520000	2880000	2520000	2400000	2400000	2400000	
321	2517000	2877000	2517000	2397000	2397000	2397000	
322	2514000	2874000	2514000	2394000	2394000	2394000	
323	2511000	2871000	2511000	2391000	2391000	2391000	
324	2508000	2868000	2508000	2388000	2388000	2388000	
325	2505000	2865000	2505000	2385000	2385000	2385000	
326	2502000	2862000	2502000	2382000	2382000	2382000	
327	2523000	2859000	2499000	2499000	2379000	2379000	
328	2520000	2856000	2496000	2496000	2376000	2376000	
329	2517000	2853000	2493000	2493000	2373000	2373000	
330	2514000	2850000	2490000	2490000	2370000	2370000	
331	2559000	2847000	2487000	2607000	2487000	2367000	
332	2580000	2844000	2604000	2604000	2484000	2364000	
333	2577000	2841000	2601000	2601000	2481000	2361000	
334	2574000	2838000	2598000	2598000	2478000	2358000	
335	2571000	2835000	2595000	2595000	2475000	2355000	
336	2592000	2832000	2712000	2592000	2472000	2352000	
337	2589000	2829000	2709000	2589000	2469000	2349000	
338	2634000	2826000	2826000	2586000	2466000	2466000	
339	2631000	2823000	2823000	2583000	2463000	2463000	
340	2652000	2940000	2820000	2580000	2460000	2460000	
341	2649000	2937000	2817000	2577000	2457000	2457000	
342	2670000	2934000	2814000	2574000	2574000	2454000	
343	2691000	2931000	2811000	2691000	2571000	2451000	
344	2712000	2928000	2808000	2808000	2568000	2448000	
345	2733000	2925000	2805000	2805000	2685000	2445000	
346	2754000	2922000	2802000	2802000	2802000	2442000	
347	2775000	2919000	2799000	2799000	2919000	2439000	
348	2796000	2916000	2916000	2796000	2916000	2436000	
349	2793000	2913000	2913000	2793000	2913000	2433000	
350	2814000	2910000	2910000	2910000	2910000	2430000	
351	2835000	2907000	2907000	2907000	2907000	2547000	
352	2880000	2904000	2904000	2904000	3024000	2664000	
353	2877000	2901000	2901000	2901000	3021000	2661000	
354	2898000	2898000	2898000	2898000	3138000	2658000	
355	2895000	2895000	2895000	2895000	3135000	2655000	
356	2892000	2892000	2892000	2892000	3132000	2652000	
357	2889000	2889000	2889000	2889000	3129000	2649000	
358	2886000	2886000	2886000	2886000	3126000	2646000	
359	2883000	2883000	2883000	2883000	3123000	2643000	
360	2880000	2880000	2880000	2880000	3120000	2640000	
361	2901000	2997000	2877000	2877000	3117000	2637000	
362	2922000	3114000	2874000	2874000	3114000	2634000	
363	2919000	3111000	2871000	2871000	3111000	2631000	
364	2916000	3108000	2868000	2868000	3108000	2628000	
365	2913000	3105000	2865000	2865000	3105000	2625000	
366	2910000	3102000	2862000	2862000	3102000	2622000	
367	2907000	3099000	2859000	2859000	3099000	2619000	
368	2904000	3096000	2856000	2856000	3096000	2616000	
369	2925000	3213000	2853000	2853000	3093000	2613000	
