envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
309	1737000	1593000	1593000	1593000	2313000	1593000	
310	1734000	1590000	1590000	1590000	2310000	1590000	
311	1731000	1587000	1587000	1587000	2307000	1587000	
312	1776000	1704000	1584000	1584000	2304000	1704000	
313	1773000	1701000	1581000	1581000	2301000	1701000	
314	1794000	1698000	1578000	1698000	2298000	1698000	
315	1791000	1695000	1575000	1695000	2295000	1695000	
316	1788000	1692000	1572000	1692000	2292000	1692000	
317	1785000	1689000	1569000	1689000	2289000	1689000	
318	1782000	1686000	1566000	1686000	2286000	1686000	
319	1779000	1683000	1563000	1683000	2283000	1683000	
320	1776000	1680000	1560000	1680000	2280000	1680000	
321	1797000	1677000	1557000	1797000	2277000	1677000	
322	1842000	1674000	1674000	1794000	2394000	1674000	
323	1863000	1671000	1671000	1791000	2391000	1791000	
324	1884000	1668000	1668000	1788000	2388000	1908000	
325	1881000	1665000	1665000	1785000	2385000	1905000	
326	1902000	1662000	1662000	1902000	2382000	1902000	
327	1899000	1659000	1659000	1899000	2379000	1899000	
328	1920000	1656000	1656000	1896000	2496000	1896000	
329	1917000	1653000	1653000	1893000	2493000	1893000	
330	1914000	1650000	1650000	1890000	2490000	1890000	
331	1935000	1767000	1647000	1887000	2487000	1887000	
332	1956000	1884000	1644000	1884000	2484000	1884000	
333	1953000	1881000	1641000	1881000	2481000	1881000	
334	1950000	1878000	1638000	1878000	2478000	1878000	
335	1947000	1875000	1635000	1875000	2475000	1875000	
336	1968000	1872000	1632000	1872000	2472000	1992000	
337	1965000	1869000	1629000	1869000	2469000	1989000	
338	1962000	1866000	1626000	1866000	2466000	1986000	
339	1983000	1863000	1623000	1863000	2463000	2103000	
340	2004000	1980000	1620000	1860000	2460000	2100000	
341	2001000	1977000	1617000	1857000	2457000	2097000	
342	2022000	1974000	1614000	1854000	2454000	2214000	
343	2019000	1971000	1611000	1851000	2451000	2211000	
344	2016000	1968000	1608000	1848000	2448000	2208000	
345	2037000	1965000	1725000	1845000	2445000	2205000	
346	2034000	1962000	1722000	1842000	2442000	2202000	
347	2055000	1959000	1719000	1839000	2559000	2199000	
348	2052000	1956000	1716000	1836000	2556000	2196000	
349	2073000	1953000	1833000	1833000	2553000	2193000	
350	2070000	1950000	1830000	1830000	2550000	2190000	
351	2067000	1947000	1827000	1827000	2547000	2187000	
352	2112000	1944000	1824000	1824000	2664000	2304000	
353	2133000	1941000	1821000	1941000	2661000	2301000	
