envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
250	1938000	2010000	2130000	1650000	2010000	1890000	
251	1959000	2007000	2127000	1647000	2127000	1887000	
252	2004000	2004000	2244000	1764000	2124000	1884000	
253	2001000	2001000	2241000	1761000	2121000	1881000	
254	2046000	1998000	2238000	1878000	2118000	1998000	
255	2043000	1995000	2235000	1875000	2115000	1995000	
256	2064000	2112000	2232000	1872000	2112000	1992000	
257	2085000	2109000	2229000	1869000	2109000	2109000	
258	2130000	2226000	2226000	1866000	2226000	2106000	
259	2127000	2223000	2223000	1863000	2223000	2103000	
260	2172000	2220000	2220000	1980000	2220000	2220000	
261	2193000	2217000	2337000	1977000	2217000	2217000	
262	2214000	2334000	2334000	1974000	2214000	2214000	
263	2211000	2331000	2331000	1971000	2211000	2211000	
264	2232000	2328000	2328000	1968000	2328000	2208000	
265	2229000	2325000	2325000	1965000	2325000	2205000	
266	2226000	2322000	2322000	1962000	2322000	2202000	
267	2271000	2319000	2439000	2079000	2319000	2199000	
268	2268000	2316000	2436000	2076000	2316000	2196000	
269	2265000	2313000	2433000	2073000	2313000	2193000	
270	2310000	2430000	2430000	2190000	2310000	2190000	
271	2307000	2427000	2427000	2187000	2307000	2187000	
272	2304000	2424000	2424000	2184000	2304000	2184000	
273	2325000	2541000	2421000	2181000	2301000	2181000	
274	2394000	2658000	2418000	2178000	2418000	2298000	
275	2391000	2655000	2415000	2175000	2415000	2295000	
276	2388000	2652000	2412000	2172000	2412000	2292000	
277	2385000	2649000	2409000	2169000	2409000	2289000	
278	2406000	2646000	2406000	2166000	2526000	2286000	
279	2427000	2763000	2403000	2163000	2523000	2283000	
280	2424000	2760000	2400000	2160000	2520000	2280000	
281	2421000	2757000	2397000	2157000	2517000	2277000	
282	2418000	2754000	2394000	2154000	2514000	2274000	
283	2415000	2751000	2391000	2151000	2511000	2271000	
284	2412000	2748000	2388000	2148000	2508000	2268000	
285	2409000	2745000	2385000	2145000	2505000	2265000	
286	2406000	2742000	2382000	2142000	2502000	2262000	
287	2403000	2739000	2379000	2139000	2499000	2259000	
288	2424000	2736000	2376000	2136000	2616000	2256000	
289	2421000	2733000	2373000	2133000	2613000	2253000	
290	2418000	2730000	2370000	2130000	2610000	2250000	
291	2415000	2727000	2367000	2127000	2607000	2247000	
292	2412000	2724000	2364000	2124000	2604000	2244000	
293	2409000	2721000	2361000	2121000	2601000	2241000	
294	2430000	2718000	2478000	2118000	2598000	2238000	
295	2427000	2715000	2475000	2115000	2595000	2235000	
296	2424000	2712000	2472000	2112000	2592000	2232000	
297	2421000	2709000	2469000	2109000	2589000	2229000	
298	2442000	2706000	2466000	2106000	2706000	2226000	
299	2439000	2703000	2463000	2103000	2703000	2223000	
300	2460000	2700000	2460000	2100000	2700000	2340000	
301	2505000	2697000	2577000	2097000	2697000	2457000	
302	2526000	2694000	2574000	2094000	2694000	2574000	
303	2547000	2691000	2571000	2091000	2691000	2691000	
304	2544000	2688000	2568000	2088000	2688000	2688000	
305	2613000	2805000	2565000	2085000	2805000	2805000	
306	2634000	2802000	2682000	2082000	2802000	2802000	
307	2631000	2799000	2679000	2079000	2799000	2799000	
308	2652000	2916000	2676000	2076000	2796000	2796000	
309	2649000	2913000	2673000	2073000	2793000	2793000	
310	2694000	2910000	2670000	2190000	2910000	2790000	
311	2715000	3027000	2667000	2187000	2907000	2787000	
312	2712000	3024000	2664000	2184000	2904000	2784000	
313	2709000	3021000	2661000	2181000	2901000	2781000	
314	2706000	3018000	2658000	2178000	2898000	2778000	
315	2703000	3015000	2655000	2175000	2895000	2775000	
316	2700000	3012000	2652000	2172000	2892000	2772000	
317	2697000	3009000	2649000	2169000	2889000	2769000	
318	2694000	3006000	2646000	2166000	2886000	2766000	
319	2691000	3003000	2643000	2163000	2883000	2763000	
320	2712000	3e+06	2760000	2160000	2880000	2760000	
321	2733000	2997000	2757000	2277000	2877000	2757000	
322	2730000	2994000	2754000	2274000	2874000	2754000	
323	2751000	2991000	2751000	2271000	2991000	2751000	
324	2772000	2988000	2748000	2268000	3108000	2748000	
325	2793000	2985000	2745000	2385000	3105000	2745000	
326	2814000	2982000	2742000	2382000	3102000	2862000	
327	2835000	3099000	2739000	2379000	3099000	2859000	
328	2856000	3096000	2856000	2376000	3096000	2856000	
329	2853000	3093000	2853000	2373000	3093000	2853000	
330	2850000	3090000	2850000	2370000	3090000	2850000	
331	2847000	3087000	2847000	2367000	3087000	2847000	
332	2844000	3084000	2844000	2364000	3084000	2844000	
333	2865000	3081000	2841000	2361000	3081000	2961000	
334	2886000	3078000	2958000	2358000	3078000	2958000	
335	2907000	3075000	2955000	2355000	3075000	3075000	
336	2952000	3072000	2952000	2472000	3192000	3072000	
337	2949000	3069000	2949000	2469000	3189000	3069000	
338	2946000	3066000	2946000	2466000	3186000	3066000	
339	2943000	3063000	2943000	2463000	3183000	3063000	
340	2964000	3060000	3060000	2460000	3180000	3060000	
341	2961000	3057000	3057000	2457000	3177000	3057000	
342	2958000	3054000	3054000	2454000	3174000	3054000	
343	3003000	3051000	3171000	2571000	3171000	3051000	
344	3e+06	3048000	3168000	2568000	3168000	3048000	
345	2997000	3045000	3165000	2565000	3165000	3045000	
346	3018000	3042000	3162000	2562000	3282000	3042000	
347	3015000	3039000	3159000	2559000	3279000	3039000	
348	3036000	3036000	3156000	2676000	3276000	3036000	
349	3057000	3033000	3153000	2793000	3273000	3033000	
350	3054000	3030000	3150000	2790000	3270000	3030000	
351	3123000	3147000	3147000	2787000	3387000	3147000	
