fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	lambda_l1	lambda_l2	 min_gain_to_split	ganancia	iteracion
20230516 194930	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	72	TRUE	999961	0.220332902479479	0.844242394089113	1221	920	11627	4.46872615141228	54.5894613992316	0.716473864971747	63885000	86
20230516 194945	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	37	TRUE	999961	0.100611323618234	0.496976992277382	1539	743	14989	32.5662956899933	11.9669346882929	1.35402717894598	58845000	87
20230516 195003	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	100	TRUE	999961	0.177252057368477	0.93241348988543	4856	29	14397	0.65647574920221	67.1400924678091	0.468166957526731	65295000	88
20230516 195013	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	53	TRUE	999961	0.247295739589896	0.730444842444122	5295	315	14966	1.31408641486902	41.0606052117149	1.0250055778938	63105000	89
20230516 195047	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	217	TRUE	999961	0.180475340605444	0.439539890013158	7345	440	11251	0.164377258331131	63.0778226435372	0.0170863132059544	64770000	90
20230516 195140	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	346	TRUE	999961	0.0723448613706598	0.448590818653488	7058	900	12943	0.461784745929566	64.8518852782442	0.611973359876659	63780000	91
20230516 195156	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	81	TRUE	999961	0.268505735733176	0.395654085225281	7002	872	14687	0.205611292300184	53.8340513184105	1.46083204644051	61785000	92
20230516 195210	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	77	TRUE	999961	0.205153021614972	0.954637939210216	6999	747	11894	0.371009967342839	65.3278738607306	0.181005213582876	64530000	93
20230516 195235	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	128	TRUE	999961	0.180493161588774	0.553761121961367	7449	896	12318	0.234545315159137	53.8594158624005	0.0696111984748987	64335000	94
20230516 195500	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	1386	TRUE	999961	0.0142880734922372	0.200185746126716	1981	851	11419	0.41717166588753	95.3419344408404	2.4053572682739	61395000	95
20230516 195522	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	153	TRUE	999961	0.237724418696146	0.617036263562448	3429	945	14837	1.54335291663269	44.8570164504814	0.239109453978865	63855000	96
20230516 195536	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	76	TRUE	999961	0.210559504876575	0.967935985371563	2881	1023	11731	0.737977998275983	43.3727952030186	0.584591042464961	64890000	97
20230516 195607	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	195	TRUE	999961	0.183267433561464	0.444869786652131	7423	936	11295	0.957541699070146	82.5759079634216	0.237898476843143	63435000	98
20230516 195652	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	283	TRUE	999961	0.0657035642885461	0.446890235747904	2230	904	14968	0.855130945009636	72.0715548153438	0.733649169089941	64905000	99
20230516 195710	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	113	TRUE	999961	0.169693426759651	0.704106347697963	6007	900	14525	0.213772961967198	58.1874816072748	0.0185029406075301	65025000	100
20230516 195726	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	111	TRUE	999961	0.214434728801424	0.683600066568037	6962	987	11555	0.71478920328698	58.0461854762647	0.554634582532703	64575000	101
20230516 195746	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	89	TRUE	999961	0.207697852755205	0.500404772308206	5222	832	14958	0.328577031046423	34.024898416143	0.220376393428624	63255000	102
20230516 195932	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	801	TRUE	999961	0.0359038712414919	0.369890428173061	7045	69	10042	0.187248134069614	18.7863424540145	0.033297690113463	63720000	103
20230516 200002	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	175	TRUE	999961	0.259565551144259	0.48852972414135	4176	705	6415	7.42712905797548	27.8823600949378	0.0127471952618513	58875000	104
20230516 200013	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	54	TRUE	999961	0.227050623944519	0.689607277806156	6263	948	11851	48.3180869587697	57.5683074823047	0.0272778532853804	60210000	105
20230516 200020	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	18	TRUE	999961	0.273028320136732	0.995993622183011	6174	410	14957	61.207143280574	55.2240747666647	7.69055511836637	55335000	106
20230516 200122	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	409	TRUE	999961	0.058555753021357	0.4068191481369	5437	926	10722	0.703152532635894	29.2033135548344	0.254008898613525	64080000	107
20230516 200145	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	71	TRUE	999961	0.0812230229558913	0.472109555772164	6243	171	10846	18.9904545733987	32.7750866296236	3.78923041592518	58545000	108
20230516 200203	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	27	TRUE	999961	0.050580536885047	0.346128752126057	5940	95	12350	99.4938540916962	59.3373455919575	385.64773365877	56670000	109
20230516 200211	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	13	TRUE	999961	0.124862023813746	0.675310955605942	6697	345	13784	21.8373366214073	37.040569032499	319.733485615987	53940000	110
20230516 200220	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	6	TRUE	999961	0.22198461709547	0.298092886909301	7611	136	12421	93.178064813004	4.62101477093351	401.199223524556	51300000	111
20230516 200230	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	10	TRUE	999961	0.156053237595602	0.366670176725279	1924	435	10543	98.355459781796	69.1153142438638	367.552112321442	52140000	112
20230516 200239	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	12	TRUE	999961	0.0965378597746632	0.88931261497392	6038	872	12238	61.1818922329505	56.6706583897525	336.350691818938	56055000	113
20230516 200256	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	5	TRUE	999961	0.0447288636584182	0.356298004084559	3045	19	6342	36.8600529491989	36.5662867979774	339.51150361188	48780000	114
20230516 200321	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	39	TRUE	999961	0.0324914027855438	0.541608854399061	2295	369	14020	24.1782210670839	36.831760223389	249.994633834722	55980000	115
20230516 200346	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	220	TRUE	999961	0.101068897376055	0.994815343306298	1651	789	7097	26.1307749821553	92.2025912116598	0.0171331246394071	57075000	116
20230516 200356	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	9	TRUE	999961	0.186802153742628	0.45816584084607	7170	403	13558	2.13428683218664	53.6285490583331	265.822149680011	52095000	117
20230516 200403	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	12	TRUE	999961	0.214249465446833	0.699372721992147	4584	339	12918	56.876677902128	1.06579265822199	239.149523733284	52815000	118
